EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER,title,
720861,HARRIS CO.,JOYCE,8/26/2017,2145,Flash Flood, , ,36,0,10000000000,100000,TX,CST-6, ,119753,C,201,HGX,0,2,Emergency Manager,Heavy Rain / Tropical System, , ,1,E,1,SSW,MINNETEX,29.5688,-95.0139,29.6026,-95.3778,"There were numerous water rescues within Houston and the surrounding suburbs. Flood waters completely inundated thousands of homes and businesses. Roads and highways in and around Houston were flooded and therefore closed for long time periods. Catastrophic flooding occurred on nearly every one of the 22 watersheds in Harris County. 10 out of the 19 bayous in the county reached record crests and flooding. There was widespread flooding along Buffalo Bayou and upstream and downstream of both Addicks and Barkers Reservoirs due to record level pool elevations. There was major flooding of hundreds of homes within numerous neighboring subdivisions along the San Jacinto River and the East Fork of the San Jacinto River.|There were numerous water rescues within Houston and the surrounding suburbs. Roads and highways in and around Houston inundated and closed due to flash flooding. ||Some of the reported flooded roads in Pasadena were Vista Street, Shafer Street, Fairmont Drive and Strawberry Road.","Harvey made landfall as a category 4 hurricane near Rockport, Texas during the evening of August 25th. The storm then weakened to a tropical storm and slowed,  looping back and tracking over SE Texas then back over the Gulf of Mexico making a second landfall along the Louisiana coast during the early morning hours of August 30th. Over that 5 day period over Southeast Texas TS Harvey produced catastrophic flooding with a large area of 30 to 60 inches of rain, 23 tornadoes, tropical storm force winds and a moderate storm surge near Matagorda Bay.  In some of the heavier bands rain fell at a rate of over 5 inches per hour. This copious record amount of rain over a  led to catastrophic flooding. Thousands of homes, businesses, and roads were flooded due to flash flooding and sheet flow from long duration intense rain. Main stem rivers and adjoining tributaries, creeks and bayous reached full capacity and came out of their banks and this also contributed to the massive flooding across southeastern Texas.",1,Harvey,
5256253,HARRIS (ZONE), ,6/5/2001,1730,Tropical Storm, , ,22,0,5030000000,0,TX,CST, ,1118293,Z,213,HGX,0,0,OTHER FEDERAL AGENCY, , , , , , , , , , , , ,,"Tropical Storm Allison formed in the northwest Gulf of Mexico during the early afternoon of June 5th, 80 miles south of Galveston.  Allison moved northward, making landfall on the west end of Galveston Island between midnight and 1am on the 6th, less than 12 hours after forming.  As Allison moved inland it caused two to three foot tides, which had little impact on the area.  On the evening of the 5th a tornado briefly touched down in Brazoria county causing damage to one home in the Manvel area.  Over the next five days Allison produced record rainfall that led to devastating flooding across Southeast Texas, killing 22 people and damaging over 48,000 homes, 70,000 automobiles and nearly 2000 businesses.

The first significant flooding occurred while Allison was still offshore.  A large spiral band with very heavy rainfall moved inland from Galveston to the Houston area, and by mid evening 8 to 12 inch totals were common from northern Galveston county into southern Harris county.  Heavy rain continued over inland portions of Southeast Texas overnight with 3 to 5 inch totals common, as Allison moved inland and weakened.

On the morning of June 6th, Allison was downgraded to a tropical depression.  Allison moved north until it was near Lufkin, then made a clockwise loop and began drifting to the southwest.  Before sunrise on June 7th, the center was near Huntsville, and a band of heavy rain moved into Liberty county producing 5 to 10 inches of rain, causing almost a foot of water on Highway 90.  Around the same time another area of thunderstorms developed over the Sugar Land - Stafford areas of Fort Bend and Harris counties, producing another 8 to 12 inches of rain and causing abundant street flooding and water in some homes.  During the day moderate to heavy rain continued over Brazoria, Houston, Liberty, Polk, Trinity and Walker counties resulting in additional reports of flooding.

June 8th began with another 5 to 10 inches of rainfall along the immediate coast, causing flooding in southern Brazoria county, central Galveston county and northern Chambers county.  Skies cleared for a few hours, but the rain began again that afternoon over Montgomery county.  Thunderstorms intensified rapidly over southern Montgomery and eastern Harris counties and began to train across the Houston metro area that evening and into June 9th.  Very heavy rainfall was observed for up to 10 hours in some locations, and rainfall rates of 4 inches or more per hour were observed throughout the night.  Flash flooding initiated quite rapidly during rush hour late Friday afternoon.  Widespread street flooding was the initial threat, but the high rainfall amounts forced almost all the major Houston area bayou systems into severe flooding, with some to record levels.  The flooding caused a complete shutdown of downtown Houston, including all major roadways and both major airports for more than 12 hours.  The Texas Medical Center along Brays Bayou sustained severe damage resulting in the complete shutdown of several hospitals and a significant loss of research data.  Twenty-two people lost their lives due to the flash flooding in Harris county on the 8th and 9th.

On June 9th the circulation center of the storm gradually made its way toward Palacios.  Before moving offshore, another round of heavy rain developed across southern Harris and extreme northern Galveston counties.  This caused flooding along Clear Creek, putting water in homes in the Friendswood, Webster and League City areas.",2,Allison,
136428,HARRIS (ZONE), ,9/12/2008,800,Storm Surge/Tide, , ,0,0,3000000000,0,TX,CST-6, ,23202,Z,213,HGX,0,0,NWS Storm Survey, , , , , , , , , , , , ,"Storm tide ranged from 10 to 15 feet above mean sea level along the Galveston Bay, Clear Lake and associated tributaries which caused major flooding of coastal areas. Number of injuries unknown. Shoreacres, Clear Lake Shores, Seabrook, and Taylor Lake Village were among the hard hit areas.","The eye of Hurricane Ike moved ashore in Galveston County near the city of Galveston. At landfall, Ike had a central pressure of 951.6 mb, as measured at Galveston Pleasure Pier, and a maximum estimated storm surge of 17 feet over portions of Chambers County and the Bolivar Peninsula. Maximum sustained winds at landfall were estimated at 95 knots (110 mph) with gusts to 110 knots (127 mph). A ship near the coast recorded a wind gust of 105 knots as the eye came through. At landfall, Ike was a Category 2 hurricane on the Saffir-Simpson scale based on wind speed, but due to its large size, had a storm surge more typical of a category 3 or 4. The height of the storm tide ranged from 4 to 6 feet in Matagorda county, 6 to 9 feet in Brazoria county, 10 to 13 feet along most of Galveston Island and Galveston Bay, to as high as 17 feet over portions of the Bolivar Peninsula and Chambers County. The majority of property damage at the coast was a result of storm tide. ||Collectively, damage amounts are estimated to be near 14 billion dollars over the counties of Harris, Chambers, Galveston, Liberty, Polk, Matagorda, Brazoria, Fort Bend, San Jacinto, and Montgomery with an estimated 8 billion of that due to storm surge in coastal Galveston, Harris and Chambers Counties. Fresh water flooding also occurred near the city of Houston where up to 14 inches of rain fell over a two day period, first from Ike, then from a line of thunderstorms associated with a cold front moving through the following day. The number of fatalities directly related to Ike was 12 in the aforementioned counties with 11 of those occurring in Galveston County from drowning due to the storm surge. In addition, there were at least 25 fatalities indirectly related to Ike, either due to carbon monoxide poisoning from generators, accidents while clearing debris, or house fires from candles. There were no known tornadoes associated with Ike.",3,Ike,
136433,HARRIS (ZONE), ,9/12/2008,800,Hurricane (Typhoon), , ,0,0,2000000000,0,TX,CST-6, ,23202,Z,213,HGX,2400,9,NWS Storm Survey, , , , , , , , , , , , ,"Ike produced damage due to high storm surge and high winds along the Galveston Bay, Clear Lake and associated tributaries. Storm tides of 10 to 15 feet were found in these areas.","The eye of Hurricane Ike moved ashore in Galveston County near the city of Galveston. At landfall, Ike had a central pressure of 951.6 mb, as measured at Galveston Pleasure Pier, and a maximum estimated storm surge of 17 feet over portions of Chambers County and the Bolivar Peninsula. Maximum sustained winds at landfall were estimated at 95 knots (110 mph) with gusts to 110 knots (127 mph). A ship near the coast recorded a wind gust of 105 knots as the eye came through. At landfall, Ike was a Category 2 hurricane on the Saffir-Simpson scale based on wind speed, but due to its large size, had a storm surge more typical of a category 3 or 4. The height of the storm tide ranged from 4 to 6 feet in Matagorda county, 6 to 9 feet in Brazoria county, 10 to 13 feet along most of Galveston Island and Galveston Bay, to as high as 17 feet over portions of the Bolivar Peninsula and Chambers County. The majority of property damage at the coast was a result of storm tide. ||Collectively, damage amounts are estimated to be near 14 billion dollars over the counties of Harris, Chambers, Galveston, Liberty, Polk, Matagorda, Brazoria, Fort Bend, San Jacinto, and Montgomery with an estimated 8 billion of that due to storm surge in coastal Galveston, Harris and Chambers Counties. Fresh water flooding also occurred near the city of Houston where up to 14 inches of rain fell over a two day period, first from Ike, then from a line of thunderstorms associated with a cold front moving through the following day. The number of fatalities directly related to Ike was 12 in the aforementioned counties with 11 of those occurring in Galveston County from drowning due to the storm surge. In addition, there were at least 25 fatalities indirectly related to Ike, either due to carbon monoxide poisoning from generators, accidents while clearing debris, or house fires from candles. There were no known tornadoes associated with Ike.",4,,
858108,HARRIS CO.,HUMBLE,9/19/2019,655,Flash Flood, , ,0,0,200000000,0,TX,CST-6, ,141836,C,201,HGX,0,0,Law Enforcement,Heavy Rain / Tropical System, , ,6,NE,4,NNW,HUFFMAN,30.0579,-95.1776,30.0755,-95.1071,"Numerous flooded roads, road closures in the Kingwood and Huffman areas. Water entering homes. There were numerous reports of flooding in and around the Kingwood area. There were reports of flood water entering homes in Huffman and in Plum Grove. Water rescues were conducted around Will Clayton Parkway and West Lake Houston Parkway and also for stranded flooded home residents on Meyer Road. Several major roadways were impassage due to flooding. Some of these impassable flooded roadways included, but were not limited to, sections of Kingwood Drive and the intersection of FM 1960 and FM 2100.","A weak surface low pressure system strengthened into Tropical Storm Imelda just after noon on September 17th around 15 miles south southwest of Freeport. Imelda moved onshore near Freeport and quickly weakened to a tropical depression. Imelda moved very slowly to the north-northwest then north-northeast over the next few days and produced a few heavy rain bands that caused devastating flooding across portions of Southeast Texas...with maximum amounts over 40 inches falling mainly over a 24 hour period.  Imelda is the 7th wettest tropical cyclone to impact the United States, the 5th wettest in the contiguous United States, and the 4th wettest in the state of Texas. Although fresh water flooding was the main impact, an EF-1 tornado also occured in a cell within one of the leading bands from the storm. This damaged an area on the north side of Baytown near the Highlands.",5,Imelda,
5478433,HARRIS (ZONE), ,9/23/2005,2100,Hurricane (Typhoon), , ,0,0,90000000,0,TX,CST, ,1199629,Z,213,HGX,0,0,NWS STORM SURVEY, , , , , , , , , , , , ,,"The eye of Hurricane Rita moved ashore in extreme southwest Louisiana between Sabine Pass and Johnson's Bayou In Cameron Parish with a minimum central pressure of 937 mb and maximum sustained winds of 120 mph. Rita was a Category 3 hurricane at landfall.

Two and a half weeks after Hurricane Katrina made her final and devastating landfall along the northern Gulf coast, all eyes turned to Tropical Storm Rita as she moved westward through the central Bahamas. On Tuesday, September 20th, Rita rapidly intensified while moving west through the Florida Straits into the Gulf of Mexico. Rita reached Category 2 intensity as the center passed about 50 miles south of Key West and significantly impacted the Florida Keys. 

After entering the Gulf of Mexico, Rita intensified at an astounding rate going from Category 2 to Category 5 intensity in 24 hours. Following this rapid intensification period, sustained winds reached 165 mph on the afternoon of Wednesday, September 21st. Since early Monday, Rita had been consistently forecast to make landfall along the upper southeast Texas coast, when the 120 hour forecast from the National Hurricane Center depicted a landfall near San Luis Pass. Emergency management officials, members of the media, and residents of southeast Texas had been watching Rita closely and planning their course of action on Monday and Tuesday. Therefore, even though the hurricane was still 620 miles southeast of Galveston, everyone had the images of Hurricane Katrina's impact on the central Gulf of Mexico coast still fresh in mind, and an unprecedented, largely voluntary evacuation began on Wednesday across southeast Texas. Emergency management officials ordered a mandatory evacuation for coastal sections of southeast Texas beginning at 6 PM on Wednesday. However, residents waiting until then to begin their evacuation found roadways in and around the densely populated Houston/Galveston area already jammed with motorists who had left earlier in the day.

The fear of Katrina-like impacts prompted many inland residents to evacuate even though they were not at risk from storm surge flooding. Therefore, an incredible number of people left, with officials estimating the total to be over 2.5 million. Although the gridlock and gasoline shortages frustrated many evacuees, the evacuation had been ordered very early, and there was ample time for residents to escape the region before the onset of adverse conditions, which were expected on Friday afternoon. By early Thursday morning, September 22nd, Rita had strengthened further and reached a peak intensity of 175 mph winds with a minimum central pressure of 897 mbs. This was the third lowest pressure on record at that time for the Atlantic basin, and displaced Katrina to fifth on the most intense hurricane list. An upper-level disturbance passing well north of Katrina early on Thursday briefly induced a more northward motion and altered Rita's motion from west-northwest to northwest. Although this change in motion was only slight; it spared the densely populated Houston/Galveston area from a direct hit and shifted the forecast track and eventual landfall point to the right. Residents of extreme southeast Texas and southwest Louisiana were then expected to experience the brunt of Rita. Fortunately, Rita weakened to a Category 3 hurricane on Friday, September 23rd, prior to landfall which occurred around 2:30 AM Saturday morning just east of the Texas/Louisiana border between Sabine Pass and Johnson's Bayou. Rita caused devastating storm surge flooding and wind damage in southwest Louisiana and extreme southeast Texas. 

Hurricane Rita was the strongest hurricane to make landfall across this portion of the U.S. coastline since Hurricane Audrey (1957). Rita affected a large inland area from southeast Texas across southwest and into south-central Louisiana. Widespread damage consisting of downed trees and power lines occurred generally along and east of a line from Crystal Beach to Liberty to Livingston to Lufkin in Texas. Although Rita tracked 50 miles east of Lake Livingston, sustained northerly winds of 40 to 60 mph occurred across the lake, generating a lake surge that damaged the dam. Fear that the dam could break forced an evacuation of communities immediately downstream as a precautionary measure. Emergency water releases from the dam on Saturday quickly abated this danger.

Moderate beach erosion occurred from Freeport to High Island. Dunes protecting many beach houses along the west end of Galveston Island and Surfside in Brazoria County were washed away. Large geotubes along portions of the west end of Galveston Island and also along portions of the Bolivar Peninsula did reduce erosion in areas where they were installed.

Most flooding was due to high tides along Galveston Island and the Bolivar Peninsula. Most of this flooding actually occurred near the time of landfall as water in Galveston Bay was pushed south out of the Bay onto the north facing shores of the island and the peninsula. Tides remained high on Saturday (after Rita made landfall) as strong westerly winds pushed water into East Bay. No significant flooding occurred due to heavy rain.

All of the associated effects of Hurricane Rita in southeast Texas resulted in 3 direct fatalities, 3 injuries and $159.5 million in property and crop damage. In addition, the massive evacuation resulted in at least 49 indirect fatalities, mostly due to excessive heat and the transportation of the elderly out of harm's way. 

In Harris County, tropical storm force sustained winds with gusts near 60 mph caused numerous trees to be blown down resulting in widespread power outages that lasted for six days in some areas. Roof, fence, sign, and glass damage estimates was around $90 million. The greatest loss was to inventory spoilage of food due to power outages. There were at least 34 indirect fatalities before, during and after Hurricane Rita. The majority of these fatalities occurred during the evacuation prior to Rita and were the result of excessive heat and transporting the elderly. 

In Brazoria County, tropical storm force sustained winds with gusts near 50 mph caused some tree damage and power outages for a couple of days. Minor damage was reported in Surfside to roads and a few homes. Total damage was around $500,000.

In Montgomery County, tropical storm force winds with gusts to near hurricane force were observed. Damage was mainly to fences, roofs, and mobile homes and totaled approximately $2.5 million. There were 13 indirect fatalities. Ten of the deaths were evacuation related while 3 deaths were carbon monoxide poisoning with no electricity in the home.

In Walker County, tropical storm force winds with gusts to near hurricane force were observed. Damage was mainly to fences, roofs, and mobile homes and totaled approximately $1.5 million.   

In Galveston County, tropical storm force sustained winds with gusts to hurricane force were reported across the county, especially on the Bolivar Peninsula. Numerous power poles and road signs were blown down on Bolivar. Many of the beach homes received roof damage. Numerous trees were down with small structure damage on High Island. Power was out to most of the county on Saturday. In Galveston's historic district, a large brick-covered side of a three-story building collapsed and three other buildings caught fire and were destroyed during the height of the storm. There were three directly related injuries. A thirty-year-old woman suffered severe burns in the fire and two firefighters had minor injuries. Small structure, dock, and pier damage along with downed power lines occurred across Galveston Island. Total damage across the county was around $15 million.

In Chambers County, tropical storm force winds with gusts in excess of hurricane force were observed. Damage consisted of downed trees, destroyed metal buildings and awnings, and downed power poles. One frame building near Winnie received major damage. Power was out throughout the county for up to seven days. Total damage across the county was around $8 million. One indirect fatality occurred in the county.

In Liberty County, tropical storm force winds with gusts in excess of hurricane force were observed. Damage consisted of downed trees, destroyed metal buildings and awnings, and downed power poles. Power was out throughout the county for up to seven days. Total damage across the county was around $7 million. There were two direct fatalities. In Hardin, a man and a woman were killed when a tree fell on the home they were sleeping in. 

In Polk and San Jacinto Counties, tropical storm force winds with gusts to near hurricane force were observed. Widespread trees were down with many trees taking down power lines. Some trees fell onto homes and caused considerable damage. Widespread power outages were observed across both counties. Lake Livingston Dam reported a wind gust of 117 mph around 5:30 AM Saturday morning. This wind sensor was on the dam and the wind was blowing across the lake. With the reduced friction across the lake's surface, this wind gust report is reasonable. The strong wind blowing along the lake created a storm surge of approximately 1.5 feet at the dam. This high water and the wave action damaged the dam which required emergency releases from the lake to stabilize the dam. The damage in Polk County was around $23 million with $20 million of that being damage to the dam at Lake Livingston. Damage in San Jacinto County was estimated at $10 million. There was one direct fatality in San Jacinto County. A three-year-old female was killed instantly by a tree falling on to her home in Point Blank. 

In Houston and Trinity Counties, tropical storm force winds with gusts to near 50 mph were observed. Numerous trees were down resulting in numerous power outages. One heat related indirect death occurred in Houston County during the evacuation. Total damage for both Houston and Trinity counties was near $2 million.

No tornadoes were reported with Rita. Maximum rainfall amounts with Rita were between 4 and 6 inches in and around the New Caney area of Montgomery County.",6,Rita,
629833,HARRIS CO.,HOCKLEY,4/17/2016,2300,Flash Flood, , ,6,0,35000000,0,TX,CST-6, ,103788,C,201,HGX,0,0,County Official,Heavy Rain, , ,3,NW,1,SW,KATY,30.0622,-95.8832,29.7887,-95.8118,"Heavy rain caused extensive flooding especially over western half of the county where 10 to 15 inches of rain fell in less than a 12 hour period. An estimated 40,000 vehicles and 10,000 homes were flooded. Seven people in Harris County drowned in their vehicles when they drove into flooded roadways. There were numerous high water rescues.","A slow moving upper low over the Southwestern U.S. combined with near record level moisture aided in producing extremely heavy rainfall and devastating flooding over portions of Harris, Waller and Fort Bend Counties. Northwest to southeast orientated bands of precipitation commenced during the early evening hours of April 17th across extreme southwestern and western Harris County as well as north and west into Grimes, Waller, Fort Bend, Austin and Colorado Counties. Between 8:00 p.m. and 9:00 p.m. thunderstorms began to greatly intensify and slow their northward movement over Waller County and, by late evening, had stalled and began shifting eastward into western Harris County. Excessive rainfall spread across northwestern Harris County during the late evening hours of April 17th and into the early morning hours of April 18th. Slow thunderstorm movement and rain rates over 4 inches per hour resulted in a large portion of northwest Harris and Waller Counties receiving between 10 and 20 inches of rainfall over mainly a 12 hour period. A few CoCoRaHS gauges in Waller County measured over 20 inches.||The flooding resulted in 8 direct fatalities over the region, all drownings in vehicles. Six of these were in Harris County with 1 in Waller County and another in Austin County. An estimated 40000 cars and trucks were flooded. Several bayous and creeks were flooded. The Addicks Barker Reservoir was severely impacted. At least 10,000 homes were flooded. Damage was estimated from Damage Survey Reports to be near $60 million.",7,,
579777,HARRIS CO.,NASSAU BAY,5/25/2015,2130,Flash Flood, , ,6,0,25000000,0,TX,CST-6, ,96313,C,201,HGX,0,1,Emergency Manager,Heavy Rain, , ,0,WSW,1,NNE,LAKE HOUSTON DAM,29.5269,-95.0867,29.9157,-95.121,"Heavy rain produced flash flooding in and around the city of Houston that caused numerous creek and bayou overflows.  Multiple water rescues were conducted.  Numerous roads were impassable due to flooding that was as high as six feet deep.  Hundreds of vehicles were stranded in the flood water.  Flood waters inundated at least 2,585 homes and 73 commercial buildings. Many bayous, including Brays, Keegans, Buffalo (610 Loop to Downtown Houston), White Oak, Armand, and Halls were out of banks. Additional flooding occurred along Brickhouse Gully, South Mayde Creek, San Jacinto River, Clear Creek, Rummel Creek, Willow Water Hole, Cypress Creek, Little Cypress Creek, Willow Creek and Spring Creek.  There were six directly related drowning fatalities.","Across already very saturated grounds, a slow moving line of thunderstorms moved into Harris County from central Texas during the evening hours of the 25th. Very heavy rainfall began in the mid evening hours across the northern portions of the county, while additional thunderstorms developed over central Fort Bend County and moved into Harris County from the southwest. A period of thunderstorm cell training occurred from around 10 PM to 1 AM from Fort Bend County into north-central Harris County where the cells merged with the line of storms moving southward from northern Harris County. Thunderstorm cell mergers continued over central and southwest Harris County for several hours resulting in widespread significant flooding. The Houston/Galveston National Weather Service Office issued their first ever Flash Flood Emergency for this event. The area's worst flooding was focused across the western portion of Harris County from the northwest side of the City of Houston to Addicks to Sharpstown to Richmond in central Fort Bend County. Hundreds of water rescues (mainly motorists stranded on area freeways and roadways) were performed by various agencies during the height of the rainfall. After daylight on the 26th, the Houston Fire Department responded to many requests for assistance of residences in flooded homes. Seven fatalities were directly related and one additional fatality was indirectly related to the flooding. Three fatalities resulted from the capsizing of a Houston Fire Department rescue boat in Brays Bayou and the other four were all flooded vehicle related. Rainfall totals averaged 3 to 4 inches across much of Harris County with totals of 4 to 6 inches from Humble to Jersey Village to Katy, and then eastward to Galveston Bay. Rainfall totals of 8 to 10 inches were recorded on the northwest side of the City of Houston southwest to Sugar Land. A maximum rainfall accumulation of 11 inches was recorded at Brays Bayou and Beltway 8. A CoCoRaHS observer 6.2 miles west of Downtown Houston recorded 10.03 inches of rainfall. Another observer 3.4 miles northeast of Richmond in Fort Bend County recorded 11.88 inches of rainfall. Maximum rainfall rates included 4.8 inches in one hour, 8. 3 inches in three hours, and 10.1 inches in six hours. The combination of the heavy rainfall and associated overflow of area creeks, rivers and bayous caused flood damage to thousands of homes and close to 100 commercial buildings.",8,,
5240895,HARRIS CO.,HOUSTON,4/16/2001,1405,Hail,1.5, ,0,0,20000000,0,TX,CST, ,1113823,C,201,HGX,0,0,EMERGENCY MANAGER, , , , , , , ,HOUSTON,29.73,-95.37,29.73,-95.37,Numerous reports of hail on the west side of Houston.  0.75 inch to 1.5 inch hail along I-10 between Hunters Creek Village and the West Loop.  1 to 1.5 inch hail near South Braeswood and Fondren Road accumulated to several inches deep and was still on the ground 24 hours after the storm.  1.5 inch hail near South Post Oak Road and West Bellfort.  1 inch hail at Westheimer and Hillcroft.  0.8 inch hail near Gessner and Highway 59.  Numerous reports of windows broken and trees and shrubs stripped of their leaves.,,9,,
5240896,HARRIS CO.,HOUSTON,4/16/2001,1430,Thunderstorm Wind, , ,0,0,15000000,0,TX,CST, ,1113823,C,201,HGX,0,0,EMERGENCY MANAGER, , , , , , , ,HOUSTON,29.73,-95.37,29.73,-95.37,Numerous reports of trees down on the west side of Houston.  Power lines down near South Post Oak Road and Beltway 8.,,10,,
