EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5152787,ORLEANS PAR.,NEW ORLEANS,06/04/2000,1100,Lightning, , ,2,0,0,0,LA,CST, ,1097681,C,71,LIX,0,0,NEWSPAPER, , , , , , , ,NEW ORLEANS, , , , ,"Two men were struck by lightning on while standing under a tree on a golf course where they sought shelter during a thunderstorm.  The two men died from the injuries on June 6, 2000 and June 9, 2000, respectively.","",1
5173596,ORLEANS PAR.,NEW ORLEANS,07/14/2000,1630,Thunderstorm Wind, , ,0,0,500,0,LA,CST, ,1100718,C,71,LIX,0,0,NEWSPAPER, , , , , , , ,NEW ORLEANS,29.95,-90.10,29.95,-90.10,"A few trees were blown down in eastern New Orleans.","",2
5155896,ORLEANS (ZONE), ,07/16/2000,1532,Heat, , ,1,0,0,0,LA,CST, ,1100721,Z,62,LIX,0,0,NEWSPAPER, , , , , , , , , , , , ,"A New Orleans man was found dead in his home as a result of excessive heat.","",3
5155895,ORLEANS (ZONE), ,07/16/2000,1549,Heat, , ,1,0,0,0,LA,CST, ,1100720,Z,62,LIX,0,0,NEWSPAPER, , , , , , , , , , , , ,"A New Orleans man was dicovered dead in his home as a result of excessive heat.","",4
5155976,ORLEANS PAR.,NEW ORLEANS,07/22/2000,1930,Thunderstorm Wind, , ,0,0,10000,0,LA,CST, ,1100726,C,71,LIX,0,0,UTILITY COMPANY, , , , , , , ,NEW ORLEANS,29.95,-90.10,29.95,-90.10,"Thunderstorm wind gusts downed large tree limbs and caused power loss to ten to fifteen thousand electric power customers.","",5
5172389,ORLEANS PAR.,NEW ORLEANS,08/10/2000,1612,Tornado, ,F0,0,0,0,0,LA,CST, ,1102256,C,71,LIX,0,0,LAW ENFORCEMENT, ,.1,20, , , , ,NEW ORLEANS,29.95,-90.10,29.95,-90.10,"A weak tornado briefly touched down in the Michoud area of New Orleans East causing no damage.","",6
5172454,ORLEANS PAR.,NEW ORLEANS LAKEFRON,08/20/2000,1902,Thunderstorm Wind,59, ,0,0,0,0,LA,CST,M,1102265,C,71,LIX,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , ,NEW ORLEANS LAKEFRON,30.05,-90.03,30.05,-90.03,"","",7
5157063,ORLEANS PAR.,ALGIERS,08/20/2000,1940,Thunderstorm Wind, , ,0,0,5000,0,LA,CST, ,1102309,C,71,LIX,0,0,NEWSPAPER, , , , , , , ,ALGIERS,29.95,-90.05,29.95,-90.05,"Thunderstorm winds blew down a brick wall and knocked down several trees.","",8
5171549,ORLEANS PAR.,NEW ORLEANS LAKEFRON,08/31/2000,1728,Thunderstorm Wind,53, ,0,0,0,0,LA,CST,M,1102301,C,71,LIX,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , ,NEW ORLEANS LAKEFRON,30.05,-90.03,30.05,-90.03,"","",9
5174263,ORLEANS PAR.,NEW ORLEANS LAKEFRON,09/01/2000,2000,Thunderstorm Wind, , ,0,0,1000,0,LA,CST, ,1103131,C,71,LIX,0,0,NWS EMPLOYEE(OFF DUTY), , , , , , , ,NEW ORLEANS LAKEFRON,30.05,-90.03,30.05,-90.03,"A few trees were blown down near Lakefront Airport.","",10
5174471,ORLEANS PAR.,NEW ORLEANS,09/01/2000,2006,Thunderstorm Wind, , ,0,0,5000,0,LA,CST, ,1103132,C,71,LIX,0,0,NWS EMPLOYEE(OFF DUTY), , , , , , , ,NEW ORLEANS,29.95,-90.10,29.95,-90.10,"Several trees were blown down and a few large signs along Interstate 10 were twisted off their supports near Irish Bayou in New Orleans East.","",11
